Date,Ticker,Open,Close
2025-01-02,AAA US Equity,100.00,101.2000
2025-01-02,BBB US Equity,50.00,49.1000
2025-01-02,CCC US Equity,25.00,25.1500
2025-01-02,DDD US Equity,75.00,75.3000
2025-01-02,EEE US Equity,40.00,39.8800
2025-01-03,AAA US Equity,101.20,100.7952
2025-01-03,BBB US Equity,49.10,49.5910
2025-01-03,CCC US Equity,25.15,25.5272
2025-01-03,DDD US Equity,75.30,75.4506
2025-01-03,EEE US Equity,39.88,39.5610
2025-01-06,AAA US Equity,100.80,101.6064
2025-01-06,BBB US Equity,49.60,49.3024
2025-01-06,CCC US Equity,25.53,25.6066
2025-01-06,DDD US Equity,75.45,76.2799
2025-01-06,EEE US Equity,39.56,39.7182
2025-01-07,AAA US Equity,101.61,100.5939
2025-01-07,BBB US Equity,49.30,49.9902
2025-01-07,CCC US Equity,25.61,25.5588
2025-01-07,DDD US Equity,76.28,76.8140
2025-01-07,EEE US Equity,39.72,39.2434
2025-01-08,AAA US Equity,100.59,101.1935
2025-01-08,BBB US Equity,49.99,49.7900
2025-01-08,CCC US Equity,25.56,25.6878
2025-01-08,DDD US Equity,76.81,76.5796
2025-01-08,EEE US Equity,39.24,38.6122
